Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,11733000,11844000,15216000,18147000
Depreciation & amortization,-,13175000,13604000,11110000
Change in working capital,-,-3462000,1039000,-5780000
Inventory,-,-3761000,689000,-945000
Other working capital,-,1847000,11916000,9290000
Other non-cash items,-,126000,2294000,4475000
Net cash provided by operating activites,-,20324000,31493000,29563000
Investments in property plant and equipment,-,-18477000,-19577000,-20273000
Acquisitions net,-,-,-4307000,-100000
Purchases of investments,-,-1355000,-249000,-2055000
Sales/Maturities of investments,-,1704000,3347000,6118000
Other investing activites,-,6414000,-6359000,-82000
Net cash used for investing activites,-,-8697000,-25044000,-14059000
Net change in cash,-,6219000,2778000,38228000
Cash at beginning of period,-,93017000,90238000,52010000
Cash at end of period,-,99237000,93017000,90238000
Operating Cash Flow,-,20324000,31493000,29563000
Capital Expenditure,-,-18477000,-19577000,-20273000
Free Cash Flow,-,1847000,11916000,9290000
