Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2473691,2296568,2114377,1854204
Liabilities,,,,
Total Liabilities,2261871,2105545,1936279,1688828
Stockholders' Equity,,,,
Common Stock,3000,3000,3000,3000
Retained Earnings,184821,169709,153527,141956
Accumulated other comprehensive income,-3261,-6814,-1892,-1042
Total stockholders' equity,211820,191023,178098,165376
Total liabilities and stockholders' equity,2473691,2296568,2114377,1854204
