Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-4388,-1903
Acquisitions net,-,2.546
Other investing activites,-,-0.001
Net cash used for investing activites,-4388,-1901
Common stock issued,3656,3843
Net cash used privided by (used for) financing activities,3732,3843
Net change in cash,-1504,993.48
Cash at beginning of period,3012,865.683
Cash at end of period,1509,1859
Capital Expenditure,-4388,-1903
Free Cash Flow,-5236,-2852
