Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-397703,-465830,100430,86757
Depreciation & amortization,-,20028,21858,24912
Change in working capital,-,584905,-591392,37297
Inventory,-,504872,-515524,120434
Other working capital,-,108662,-500681,117694
Other non-cash items,-,-6480,133776,-24087
Net cash provided by operating activites,-,134899,-480882,120575
Investments in property plant and equipment,-,-26237,-19799,-2881
Acquisitions net,-,-,-53,-60000
Purchases of investments,-,-843,-997,-1538
Sales/Maturities of investments,-,-,30662,48468
Other investing activites,-,93,157193,3882
Net cash used for investing activites,-,228063,521134,19053
Net change in cash,-,332158,1588750,-326982
Cash at beginning of period,-,2076959,488209,815191
Cash at end of period,-,2409118,2076959,488209
Operating Cash Flow,-,134899,-480882,120575
Capital Expenditure,-,-26237,-19799,-2881
Free Cash Flow,-,108662,-500681,117694
