Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1177228,1547236,1252998,1491354
Depreciation & amortization,-,834032,1165571,1188141
Change in working capital,-,-2963664,1002760,-752983
Inventory,-,-1046303,-132080,-294193
Other working capital,-,-1401408,2463974,1522765
Other non-cash items,-,44046,-37616,18845
Net cash provided by operating activites,-,-633790,3451456,2043487
Investments in property plant and equipment,-,-767618,-987482,-520722
Acquisitions net,-,-248930,-245000,-
Purchases of investments,-,-,-646183,-80000
Sales/Maturities of investments,-,300782,49989,12728
Other investing activites,-,-128637,-79167,-170
Net cash used for investing activites,-,-868783,-1907603,-532291
Net change in cash,-,-760131,134032,359528
Cash at beginning of period,-,5103468,4969436,4609908
Cash at end of period,-,4343336,5103468,4969436
Operating Cash Flow,-,-633790,3451456,2043487
Capital Expenditure,-,-767618,-987482,-520722
Free Cash Flow,-,-1401408,2463974,1522765
