Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-1227,-721,-845,-
Acquisitions net,-,-,-15406,-
Purchases of investments,-,-,-13355,-
Other investing activites,-,600,-,-
Net cash used for investing activites,-263,208,-16023,-
Debt repayment,-1601,-1577,-1583,-
Common stock issued,-,-,26234,-
Common stock repurchased,-,-,-3552,-
Dividends Paid,-4816,-3127,-16667,-
Net cash used privided by (used for) financing activities,-7826,-4704,11903,-
Net change in cash,4035,-419,4782,-
Cash at beginning of period,13257,19608,14765,-
Cash at end of period,17292,19077,19608,-
Capital Expenditure,-1227,-721,-845,-
Free Cash Flow,10897,3356,8057,-
