Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-135000,632000,1170000,-1398000
Depreciation & amortization,22098000,10434000,10874000,10812000
Change in working capital,1172000,-151000,985000,-3379000
Inventory,430000,527000,267000,-990000
Other working capital,19253000,8153000,10131000,-4966000
Other non-cash items,2604000,2456000,2700000,5782000
Net cash provided by operating activites,28481000,15971000,16658000,4990000
Investments in property plant and equipment,-9228000,-7818000,-6527000,-9956000
Acquisitions net,-,-,-,-10957000
Other investing activites,-622000,-722000,-118000,6386000
Net cash used for investing activites,-12763000,-7457000,-5281000,-13982000
Net change in cash,-1655000,-751000,-25000,3638000
Cash at beginning of period,34262000,34605000,34631000,30993000
Cash at end of period,32259000,33854000,34605000,34631000
Operating Cash Flow,28481000,15971000,16658000,4990000
Capital Expenditure,-9228000,-7818000,-6527000,-9956000
Free Cash Flow,19253000,8153000,10131000,-4966000
