Breakdown,ttm,12/31/2019
Total Revenue,4765312,4765312
Cost of Revenue,1551336,1551336
Gross Profit,3213975,3213975
Total Operating Expenses,3060816,3060816
Operating Income or Loss,153159,153159
Interest Expense,6995,6995
Income Before Tax,-316141,-316141
Income Tax Expense,65084,65084
Income from Continuing Operations,-381225,-381225
Net Income,-381226,-381226
Net Income available to common shareholders,-381226,-381226
