Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,538633,478544,467428
Liabilities,,,
Total Liabilities,38167,8531,14816
Stockholders' Equity,,,
Common Stock,0,0,0
Retained Earnings,41029,62504,45103
Total stockholders' equity,500465,470013,452612
Total liabilities and stockholders' equity,538633,478544,467428
