Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,628397,586161,625312,584777
Depreciation & amortization,-,889699,845882,734524
Change in working capital,-,267204,-258175,-596764
Inventory,-,27079,-196840,-189538
Other working capital,-,844759,313545,315731
Other non-cash items,-,10132,9245,-5364
Net cash provided by operating activites,-,1708114,1207668,905604
Investments in property plant and equipment,-,-863355,-894123,-589873
Purchases of investments,-,-126218,-133790,-76583
Sales/Maturities of investments,-,5238,103244,71710
Other investing activites,-,1,-63683,-19427
Net cash used for investing activites,-,-982636,-980355,-611818
Net change in cash,-,295409,-200006,96933
Cash at beginning of period,-,3072350,3272357,3175423
Cash at end of period,-,3367759,3072350,3272357
Operating Cash Flow,-,1708114,1207668,905604
Capital Expenditure,-,-863355,-894123,-589873
Free Cash Flow,-,844759,313545,315731
