Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-7.92,-1.133,-16.848,-219.349
Net cash used for investing activites,-,-7.92,-1.133,-16.848,-219.349
Debt repayment,-1914,-1917,-250,-473.014,-360
Common stock issued,-,-,1039,-,-
Other financing activites,-,-,-15.338,-,-
Net cash used privided by (used for) financing activities,731.743,525.039,1107,-223.014,1081
Net change in cash,-400.864,7.463,14.785,-39.169,280.262
Cash at beginning of period,996.651,417.928,403.143,442.312,162.05
Cash at end of period,595.787,425.391,417.928,403.143,442.312
Capital Expenditure,-,-7.92,-1.133,-16.848,-219.349
Free Cash Flow,-1133,-517.576,-1092,183.845,-800.565
