Breakdown,ttm,6/30/2019,6/30/2018,9/30/2017
Total Revenue,60281,48589,23095,-
Income Before Tax,56134,45077,21268,-
Income Tax Expense,0,0,0,-
Income from Continuing Operations,56134,45077,21268,-
Net Income,56134,45077,21268,-
Net Income available to common shareholders,56134,45077,21268,-
Basic EPS,-,0.12,0.07,0.00
Diluted EPS,-,0.12,0.07,0.00
Basic Average Shares,-,380384,291805,263156
Diluted Average Shares,-,380384,291805,263156
